Date,Track Name,Artist,Genre,Tempo,Loudness,Productivity
2024-05-12,this is what falling in love feels like,JVKE,"modern indie pop, pov: indie, singer-songwriter pop",126.910697937,0.908984184265,88.88888889
2024-06-12,Slow It Down,Benson Boone,singer-songwriter pop,172.265853882,0.908984184265,66.66666667
2024-06-12,Mambo No 5,Pérez Prado,"mambo, musica tradicional cubana, space age pop",126.910697937,0.908984184265,66.66666667
2024-06-12,Best Day Of My Life,American Authors,"modern rock, pop rock",126.910697937,0.908984184265,66.66666667
2024-06-12,Brazil,Declan McKenna,pov: indie,126.910697937,0.908984184265,66.66666667
2024-06-12,Firework,Katy Perry,pop,123.969017029,0.817434966564,66.66666667
2024-06-12,If You Don't Want My Love,Jalen Ngonda,retro soul,126.910697937,0.908984184265,66.66666667
2024-06-12,Idea 10,Gibran Alcocer,ambient lo-fi,126.910697937,0.908984184265,66.66666667
2024-06-12,Beautiful As You,Thomas Rhett,"contemporary country, country, country road, modern country rock",126.910697937,0.908984184265,66.66666667
2024-06-12,Centuries,Fall Out Boy,"emo, modern rock, pop, rock",126.910697937,0.908984184265,66.66666667
2024-06-12,Ho Hey,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler",126.910697937,0.908984184265,66.66666667
2024-06-12,Solas,Gibran Alcocer,ambient lo-fi,126.910697937,0.908984184265,66.66666667
2024-06-12,Dancing Queen,ABBA,"europop, swedish pop",126.910697937,0.908984184265,66.66666667
2024-06-12,Whisper My Name,Adi Oasis,"indie r&b, indie soul",172.265563965,0.00607901858166,66.66666667
2024-06-12,Ophelia,The Lumineers,"folk-pop, modern rock, neo mellow, stomp and holler",126.910697937,0.908984184265,66.66666667
2024-07-12,Gülün Rengi,Serdar Ortaç,turkish pop,126.910697937,0.932381510735,68.18181818
2024-07-12,Me Gustas Tu,Manu Chao,"latin alternative, world",126.910697937,0.908984184265,68.18181818
2024-07-12,Lovers Rock,TV Girl,pov: indie,126.910697937,0.908984184265,68.18181818
2024-07-12,This Side of Paradise,Coyote Theory,pov: indie,126.910697937,0.908984184265,68.18181818
2024-07-12,Sonsuz Ol - Remastered,Yalın,turkish pop,126.910697937,0.932381510735,68.18181818
2024-08-12,House of Memories,Panic! At The Disco,pop,125.98135376,0.924481570721,92.85714286
2024-08-12,Feet Don't Fail Me Now,Joy Crookes,"alternative r&b, uk contemporary r&b",126.910697937,0.908984184265,92.85714286
2024-08-12,Aşk Durdukça,Yüksek Sadakat,"turkish pop, turkish rock",126.910697937,0.908984184265,92.85714286
2024-08-12,El Cuarto de Tula,Buena Vista Social Club,"latin jazz, musica tradicional cubana, world",128.924545288,0.766507863998,92.85714286
2024-08-12,Mambo No 5,Pérez Prado,"mambo, musica tradicional cubana, space age pop",126.910697937,0.908984184265,92.85714286
2024-08-12,Stolen Dance,Milky Chance,"german pop, modern rock",117.96975708,0.889303147793,92.85714286
2024-08-12,Beautiful As You,Thomas Rhett,"contemporary country, country, country road, modern country rock",126.910697937,0.908984184265,92.85714286
2024-08-12,Ağlama ben ağlarım,Canozan,"turkish alt pop, turkish alternative rock, turkish rock",126.910697937,0.908984184265,92.85714286
2024-08-12,Could It Be I'm Falling in Love,The Spinners,"classic soul, disco, funk, motown, philly soul, quiet storm, soul, southern soul",126.910697937,0.908984184265,92.85714286
2024-08-12,Promiscuous,"Nelly Furtado, Timbaland","dance pop, pop, pop rap",126.910697937,0.908984184265,92.85714286
2024-08-12,Before You Leave Me,Alex Warren,"gen z singer-songwriter, singer-songwriter pop",126.910697937,0.908984184265,92.85714286
2024-08-12,L'italiano,Toto Cutugno,classic italian pop,172.265228271,0.941717147827,92.85714286
2024-09-12,Lovers Rock,TV Girl,pov: indie,126.910697937,0.908984184265,93.33333333
2024-09-12,Losing Interest,"itssvd, CORBAL, Shiloh Dynasty, Dibyo","slowed and reverb, sped up",126.910697937,0.908984184265,93.33333333
2024-09-12,Dancing Queen,ABBA,"europop, swedish pop",126.910697937,0.908984184265,93.33333333
2024-09-12,"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers,"classic soul, funk, motown, quiet storm, soul",126.910697937,0.908984184265,93.33333333
2024-09-12,Dancing in the Moonlight,Toploader,british alternative rock,150.040557861,0.954892337322,93.33333333
2024-09-12,Aklımın İplerini Saldım,Yüksek Sadakat,"turkish pop, turkish rock",126.910697937,0.908984184265,93.33333333
