Track Name,Artist,Track ID,Genres,Tempo,Loudness,Danceability
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",285HeuLxsngjFn4GGegGNm,"big room, dance pop, edm, pop, pop dance",93.8366928101,0.93929451704,
Titanium (feat. Sia),"David Guetta, Sia",0TDLuuLlV54CkRRUOahJb4,"big room, dance pop, edm, pop, pop dance",,,
I Like It Like That,Pete Rodriguez,6Wy3X4jSszfisnRscJCHdq,"boogaloo, jazz trumpet",133.39692688,0.933247804642,
Another Level,Oh The Larceny,52yUIbj0YVqxyz9cA0WSPA,"bossbeat, rebel blues",,,
I Want It That Way,Backstreet Boys,47BBI51FKFwOMlIiX6m8ya,"boy band, dance pop, pop",164.169509888,0.506190299988,
Glad You Came,The Wanted,5yDL13y5giogKs2fSNf7sj,"boy band, dance pop, pop, post-teen pop",,,
Chasing The Sun,The Wanted,4b4c0oH7PtrPsI86drzgFs,"boy band, dance pop, pop, post-teen pop",,,
Just My Type,The Vamps,29VLdEqFvd0l4JFscCnrp7,"boy band, pop",105.967399597,0.946545541286,
Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,"boy band, pop",120.054069519,0.829949736595,
Dancing in the Moonlight,Toploader,3Fzlg5r1IjhLk2qRw667od,british alternative rock,150.040557861,0.954892337322,
Tell Me Why,"Gotts Street Park, Olive Jones",7AvuIMRKdo5RvS6YIzXjsj,british soul,,,
You Know I'm No Good,Amy Winehouse,0DMRKqrpd0QO4RWiEdMib0,"british soul, neo soul",,,
Smooth Operator - Single Version,Sade,1Hv1VTm8zeOeybub15mA2R,"british soul, sophisti-pop",,,
The Color Violet,Tory Lanez,3azJifCSqg9fRij2yKIbWz,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",,,
Je veux,Zaz,734dz1YaFITwawPpM25fSt,"chanson, french jazz, nouvelle chanson francaise",,,
I Love You So,The Walters,4SqWKzw0CbA05TGszDgMlc,"chicago indie, pov: indie",,,
Move On Up,Curtis Mayfield,2cK7SJ2O3CqDRHeixvFKgh,"chicago soul, classic soul, funk, soul",,,
MILLION DOLLAR BABY,Tommy Richman,5AJ9hqTS2wcFQCELCFRO7A,chill abstract hip hop,123.821136475,0.940449714661,
DEVIL IS A LIE,Tommy Richman,6jlG8gBPNAgBgoivw2Ig09,chill abstract hip hop,,,
The Chase,Emmit Fenn,0SANWT6WZgajOViFe0EkCO,"chill house, vapor soul",,,
Close Eyes,DVRST,3CLSHJv5aUROAN2vfOyCOh,"chill phonk, drift phonk",,,
Jolene,Dolly Parton,5fdhThPDe6jQQDqCyWrdAn,"classic country pop, country, country dawn",,,
L'italiano,Toto Cutugno,2S7RApTsKT0CtYojYq2cKz,classic italian pop,172.265228271,0.941717147827,
Nine Ball,Zach Bryan,3xOi0YhDREKRURFHoNaAOQ,classic oklahoma country,,,
From Austin,Zach Bryan,6k07Z7rd9og1FvRJD2n9E8,classic oklahoma country,,,
Before He Cheats,Carrie Underwood,0ZUo4YjG4saFnEJhdWp9Bt,"classic oklahoma country, contemporary country, country, country dawn, dance pop, pop",,,
Love Come Down,"Evelyn ""Champagne"" King",17EVu5b0l5uo2gErSfqEt1,"classic soul, disco, funk, minneapolis sound, new jack swing, post-disco, quiet storm, soul, urban contemporary",,,
Kiss and Say Goodbye,The Manhattans,0rHiGIRASJq8snJGFJMpnI,"classic soul, disco, funk, motown, philly soul, quiet storm, soul",129.330581665,0.827349305153,
Could It Be I'm Falling in Love,The Spinners,5i0urffBRKl09GSX2Jhdeh,"classic soul, disco, funk, motown, philly soul, quiet storm, soul, southern soul",,,
Wishing on a Star,Rose Royce,0u2CGItUO2jYEiFaXD7n5S,"classic soul, disco, funk, motown, post-disco, quiet storm, soul, southern soul",93.7756729126,0.25063803792,
Before I Let Go,"Maze, Frankie Beverly",6e9xnBJPs0y9omrSU3C3N4,"classic soul, funk, motown, neo soul, new jack swing, post-disco, quiet storm, soul, urban contemporary",,,
"Footsteps in the Dark, Pts. 1 & 2",The Isley Brothers,1tL5a9jowsWMtn3wkFYsG9,"classic soul, funk, motown, quiet storm, soul",,,
Let's Get It On,Marvin Gaye,627teoJpK7qZOxRRY8TNnv,"classic soul, motown, neo soul, northern soul, quiet storm, soul",,,
The Bones,Maren Morris,7yFhA2fUsL2oIMWlw5DaHQ,"classic texas country, contemporary country",,,
